"panel_code","panel_name","panelist_name","affiliation","chair","panel_category","year"
"104","Technická chemie","Prof. Ing. Petr Kalenda"," Univerzita Pardubice - Fakulta chemicko-technologická","Prof. Ing. Jiří Čejka, DrSc. - předseda","sub-branch","2008"
"104","Technická chemie","Prof. Ing. Ladislav Koudelka"," Univerzita Pardubice - Fakulta chemicko-technologická","Prof. Ing. Jiří Čejka, DrSc. - předseda","sub-branch","2008"
"104","Technická chemie","Ing. Jan Linek"," Ústav chemických procesů AV ČR","Prof. Ing. Jiří Čejka, DrSc. - předseda","sub-branch","2008"
"104","Technická chemie","Doc. Ing. Ivan Mašek"," Vysoké učení technické v Brně - Fakulta chemická","Prof. Ing. Jiří Čejka, DrSc. - předseda","sub-branch","2008"
"104","Technická chemie","Prof. Ing. Petr Mikulášek"," Univerzita Pardubice - Fakulta chemicko-technologická","Prof. Ing. Jiří Čejka, DrSc. - předseda","sub-branch","2008"
"104","Technická chemie","Ing. Miroslav Punčochář"," Ústav chemických procesů AV ČR","Prof. Ing. Jiří Čejka, DrSc. - předseda","sub-branch","2008"
"104","Technická chemie","Doc. Ing. Michal Veselý"," Vysoké učení technické v Brně - Fakulta chemická","Prof. Ing. Jiří Čejka, DrSc. - předseda","sub-branch","2008"
"104","Technická chemie","Doc. Ing. Vítězslav Zima"," Ústav makromolekulární chemie AV ČR","Prof. Ing. Jiří Čejka, DrSc. - předseda","sub-branch","2008"
"105","Hornictví","Prof. Ing. Jaroslav Dvořáček"," Vysoká škola báňská - Technická univerzita Ostrava - Hornicko-geologická fakulta","Dr. Ing. Petr Welser - předseda","sub-branch","2008"
"105","Hornictví","Prof. Ing. Vlastimil Hudeček"," Vysoká škola báňská - Technická univerzita Ostrava - Hornicko-geologická fakulta","Dr. Ing. Petr Welser - předseda","sub-branch","2008"
"105","Hornictví","Ing. Alexandr Hykel"," Český báňský úřad","Dr. Ing. Petr Welser - předseda","sub-branch","2008"
"105","Hornictví","Doc. Ing. Petr Janas"," Vysoká škola báňská - Technická univerzita Ostrava - Fakulta stavební","Dr. Ing. Petr Welser - předseda","sub-branch","2008"
"105","Hornictví","Doc. Ing. Petr Konečný"," Ústav geoniky AV ČR","Dr. Ing. Petr Welser - předseda","sub-branch","2008"
"105","Hornictví","Ing. Marcela Šafářová"," Výzkumný ústav pro hnědé uhlí","Dr. Ing. Petr Welser - předseda","sub-branch","2008"
"105","Hornictví","RNDr. Ing. Josef Valeš"," Výzkumný ústav pro hnědé uhlí","Dr. Ing. Petr Welser - předseda","sub-branch","2008"
"105","Hornictví","Dr. Ing. Petr Welser - předseda"," Ostravsko-karvinské doly","Dr. Ing. Petr Welser - předseda","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Doc. Ing. Jiří Burša"," Vysoké učení technické v Brně - Fakulta strojního inženýrství","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Prof. Ing. František Černý"," České vysoké učení technické v Praze - Fakulta strojní","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Prof. Ing. Jana Dobrovská"," Vysoká škola báňská - Technická univerzita Ostrava - Fakulta metalurgie a materiálového inženýrství","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Ing. Jiří Dubský"," Ústav fyziky plazmatu AV ČR","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
"106","Hutnictví a materiálové inženýrství","Doc. Ing. Vladimír Hanykýř"," Vysoká škola chemicko-technologická v Praze - Fakulta chemické technologie","Prof. Ing. Jana Dobrovská, CSc. - předsedkyně","sub-branch","2008"
