"panel_name","panel_code","first_name","second_name","titles","affiliation","year","url"
"Stavebnictví, architektura a doprava",103,"Zdeněk","Chára","Ing.","Ústav pro hydrodynamiku AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Josef","Jíra","Prof. Ing.","České vysoké učení technické v Praze - Fakulta dopravní",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Alena","Kohoutková","Doc. Ing.","České vysoké učení technické v Praze - Fakulta stavební",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Bohumil","Kubát","Doc. Ing.","České vysoké učení technické v Praze - Fakulta dopravní",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Jindřich","Melcher","Prof. Ing.","Vysoké učení technické v Brně - Fakulta stavební",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Vlastislav","Mojžíš","Prof. Ing.","Univerzita Pardubice - Dopravní fakulta Jana Pernera",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Jiří","Náprstek","Ing.","Ústav teoretické a aplikované mechaniky AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Alexandr","Rozsypal","Doc. Ing.","Stavební geologie - Geotechnika",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Vlastimil","Stara","Doc. Ing.","Vysoké učení technické v Brně - Fakulta stavební",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Jiljí","Šindlar","Prof. Ing. arch.","Vysoké učení technické v Brně - Fakulta architektury",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Petr","Škapa","Doc. Ing.","Vysoká škola báňská - Technická univerzita Ostrava - Fakulta strojní",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Ivan","Vaníček","Prof. Ing.","České vysoké učení technické v Praze - Fakulta stavební",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Technická chemie",104,"Jaroslav","Cihlář","Prof. RNDr.","Vysoké učení technické v Brně - Fakulta strojního inženýrství",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Technická chemie",104,"Jiří","Čejka","Prof. Ing.","Ústav fyzikální chemie J. Heyrovského AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Technická chemie",104,"Libor","Červený","Prof. Ing.","Vysoká škola chemicko-technologická v Praze - Fakulta chemické technologie",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Technická chemie",104,"Jiří","Hostomský","Doc. Ing.","Ústav anorganické chemie AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Technická chemie",104,"Jitka","Jandová","Doc. Ing.","Vysoká škola chemicko-technologická v Praze - Fakulta chemické technologie",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Technická chemie",104,"Josef","Janků","Doc. Ing.","Vysoká škola chemicko-technologická v Praze - Fakulta technologie ochrany prostředí",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Technická chemie",104,"Petr","Kalenda","Prof. Ing.","Univerzita Pardubice - Fakulta chemicko-technologická",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Technická chemie",104,"Ladislav","Koudelka","Prof. Ing.","Univerzita Pardubice - Fakulta chemicko-technologická",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Technická chemie",104,"Jan","Linek","Ing.","Ústav chemických procesů AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Technická chemie",104,"Ivan","Mašek","Doc. Ing.","Vysoké učení technické v Brně - Fakulta chemická",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Technická chemie",104,"Petr","Mikulášek","Prof. Ing.","Univerzita Pardubice - Fakulta chemicko-technologická",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Technická chemie",104,"Miroslav","Punčochář","Ing.","Ústav chemických procesů AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Technická chemie",104,"Michal","Veselý","Doc. Ing.","Vysoké učení technické v Brně - Fakulta chemická",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Technická chemie",104,"Vítězslav","Zima","Doc. Ing.","Ústav makromolekulární chemie AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hornictví",105,"Jaroslav","Dvořáček","Prof. Ing.","Vysoká škola báňská - Technická univerzita Ostrava - Hornicko-geologická fakulta",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Hornictví",105,"Vlastimil","Hudeček","Prof. Ing.","Vysoká škola báňská - Technická univerzita Ostrava - Hornicko-geologická fakulta",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
